"Active.Material....","Solid.Content....","Comma.Gap..μm.","σ..mg.cm2.","σ..μm.","σ1..mg.cm2..Perpendicular","σ1..μm..Perpendicular","σ2..mg.cm2..Perpendicular","σ2..μm..Perpendicular","σ3..mg.cm2..Perpendicular","σ3..μm..Perpendicular","σ1..mg.cm2..Direction","σ1..μm..Direction","σ2..mg.cm2..Direction","σ2..μm..Direction","σ3..mg.cm2..Direction","σ3..μm..Direction"
95,0.6,100,0.0310800383194608,0.00878612171905615,0.0196975399535534,0.00655738409823985,0.0247942017578678,0.00831890330807703,0.0118815504339706,0.00663521655044448,0.0386270618564475,0.00884955752212389,0.0226700251889169,0.00884955752212389,0.0292973263854115,0.00831890330807703
95,0.6,75,0.0236157695902591,0.0153155340924643,0.0208062105132874,0.0166631955291373,0.0234687085560958,0.00763163132252488,0.0136980253342779,0.0142668014727255,0.0197078692451763,0.0117826585548903,0.0233629709637072,0.0117826585548903,0.026126747955918,0.0120281306081172
95,0.6,400,0.010922622624065,0.00908863204586423,0.0110058808920731,0.00951965805454753,0.0098284726626413,0.00445431868027846,0.00381238716649237,0.005702474041827,0.00416541763821852,0.00826273672468469,0.0127897282467196,0.00964956040907992,0.0126560967414182,0.00881905968582123
95,0.6,200,0.0108403621856833,0.00604009007973894,0.00543873876573062,0,0.0108398587161731,0.00840627059210447,0.00895888924562309,0,0.0113583040765596,0.004226971602079,0.00823081298810832,0.004226971602079,0.00947486431143975,0.00843799236792374
95,0.6,300,0.0108463269049014,0.00729145481263167,0.00984253313528066,0.00588438941447313,0.00862480509270152,0.00367328198018986,0.00379661266801818,0.00290776069895941,0.00706353713612692,0.00738492721865846,0.0145109270048737,0.0070210753678416,0.00922291911304209,0.00738492721865846
95,0.6,50,0.0669879149632007,0.0109147074801807,0.0283955542979863,0.010027210661434,0.0751467969406108,0.010027210661434,0.0440109547131885,0.0101179546493203,0.07364603672235,0,0.07364603672235,0,0.0504864062146251,0.0184892628951465
95,0.58,100,0.0186744199032182,0.00896319140693782,0.0106404312645677,0.00688020916153781,0.0186070579629172,0.00917431192660551,0.0210128128351553,0.00917431192660551,0.0160868199820129,0.00867615682437482,0.0202214430816548,0.00867615682437482,0.0167566272327827,0.00917431192660551
95,0.58,75,0.0402071486613704,0.0166631955291373,0.0139019171323408,0.0101010101010101,0.0500657030506837,0.0204081632653061,0.0169415510793271,0.0103092783505155,0.0428332045567927,0.0166631955291373,0.0415641549885244,0.0182547959563881,0.0347511109840455,0.0140720328519374
95,0.58,400,0.0192301881551638,0.00522700343719641,0.00461117048357731,0.00219007637365308,0.0055120621985707,0.00524358793294499,0.0277563505058952,0.00404622730678868,0.00368217719221716,0.00525381932403366,0.0298897677968312,0.00276754121795126,0.0099518240720106,0.00588235294117647
95,0.58,200,0.0100020894478237,0.00410287702293539,0.00968932111814539,0.00552486187845304,0.00852508745600711,0,0.00392457571465859,0,0.00951960271611042,0.00410287702293539,0.00962480810719123,0.00410287702293539,0.0101013337792598,0.00410287702293539
